lr-SGD,step,train_loss_step,train_acc_step,epoch,val_loss_step,val_acc_step,val_loss_epoch,val_acc_epoch,train_loss_epoch,train_acc_epoch
0.013604144351877035,49,,,,,,,,,
,49,1.8329439163208008,0.30859375,0,,,,,,
0.024689002712665734,99,,,,,,,,,
,99,1.5412653684616089,0.4296875,0,,,,,,
0.03577386107345443,149,,,,,,,,,
,149,1.4651566743850708,0.4765625,0,,,,,,
,0,,,,1.5951542854309082,0.46875,,,,
,1,,,,1.6263649463653564,0.43359375,,,,
,2,,,,1.4492812156677246,0.48828125,,,,
,3,,,,1.555018424987793,0.46875,,,,
,4,,,,1.4653006792068481,0.5,,,,
,5,,,,1.515129804611206,0.4609375,,,,
,6,,,,1.4936388731002808,0.484375,,,,
,7,,,,1.5657830238342285,0.49609375,,,,
,8,,,,1.7024002075195312,0.40234375,,,,
,9,,,,1.6628661155700684,0.4609375,,,,
,10,,,,1.6138262748718262,0.4296875,,,,
,11,,,,1.5401365756988525,0.5390625,,,,
,12,,,,1.5589940547943115,0.45703125,,,,
,13,,,,1.578535556793213,0.4453125,,,,
,14,,,,1.592429518699646,0.484375,,,,
,15,,,,1.6526648998260498,0.45703125,,,,
,16,,,,1.5053948163986206,0.51953125,,,,
,17,,,,1.5858484506607056,0.421875,,,,
,18,,,,1.3829838037490845,0.51171875,,,,
,19,,,,1.6281383037567139,0.4375,,,,
,20,,,,1.6660025119781494,0.44921875,,,,
,21,,,,1.4889068603515625,0.4609375,,,,
,22,,,,1.496001124382019,0.46484375,,,,
,23,,,,1.5566431283950806,0.4296875,,,,
,24,,,,1.568192720413208,0.515625,,,,
,25,,,,1.585634469985962,0.40625,,,,
,26,,,,1.5531672239303589,0.42578125,,,,
,27,,,,1.6757993698120117,0.4453125,,,,
,28,,,,1.4708960056304932,0.48828125,,,,
,29,,,,1.6280089616775513,0.44921875,,,,
,30,,,,1.60861074924469,0.44140625,,,,
,31,,,,1.636795997619629,0.41796875,,,,
,32,,,,1.7792003154754639,0.43359375,,,,
,33,,,,1.5766878128051758,0.484375,,,,
,34,,,,1.6183819770812988,0.46875,,,,
,35,,,,1.6132776737213135,0.4609375,,,,
,36,,,,1.5635383129119873,0.453125,,,,
,37,,,,1.4289382696151733,0.5234375,,,,
,38,,,,1.6779038906097412,0.41796875,,,,
,39,,,,1.804718017578125,0.4375,,,,
,195,,,0,,,1.5763269662857056,0.46160000562667847,,
,195,,,0,,,,,1.6234748363494873,0.4097200036048889
0.04685871943424313,199,,,,,,,,,
,199,1.266958475112915,0.51953125,1,,,,,,
0.05794357779503182,249,,,,,,,,,
,249,1.2562077045440674,0.5625,1,,,,,,
0.06902843615582051,299,,,,,,,,,
,299,1.129834771156311,0.6171875,1,,,,,,
0.0801132945166092,349,,,,,,,,,
,349,0.8655100464820862,0.67578125,1,,,,,,
,40,,,,2.3412952423095703,0.5,,,,
,41,,,,2.4608681201934814,0.48046875,,,,
,42,,,,2.563417911529541,0.484375,,,,
,43,,,,2.631326675415039,0.44140625,,,,
,44,,,,3.0317466259002686,0.3984375,,,,
,45,,,,2.683681011199951,0.48046875,,,,
,46,,,,2.720215320587158,0.44140625,,,,
,47,,,,2.488473415374756,0.46875,,,,
,48,,,,2.489196300506592,0.4765625,,,,
,49,,,,2.677985191345215,0.42578125,,,,
,50,,,,2.3653531074523926,0.47265625,,,,
,51,,,,2.3420207500457764,0.46484375,,,,
,52,,,,2.488077402114868,0.51171875,,,,
,53,,,,2.508118152618408,0.43359375,,,,
,54,,,,2.762190818786621,0.42578125,,,,
,55,,,,2.159071445465088,0.48828125,,,,
,56,,,,2.3893609046936035,0.4375,,,,
,57,,,,2.5455315113067627,0.44140625,,,,
,58,,,,2.41230845451355,0.453125,,,,
,59,,,,2.5129199028015137,0.43359375,,,,
,60,,,,2.8020949363708496,0.40234375,,,,
,61,,,,2.7575504779815674,0.44140625,,,,
,62,,,,2.7580525875091553,0.44140625,,,,
,63,,,,2.4425928592681885,0.4765625,,,,
,64,,,,2.63739013671875,0.4296875,,,,
,65,,,,2.641855478286743,0.4140625,,,,
,66,,,,3.0557761192321777,0.41015625,,,,
,67,,,,2.4348342418670654,0.48828125,,,,
,68,,,,2.291278123855591,0.48828125,,,,
,69,,,,2.775477170944214,0.47265625,,,,
,70,,,,2.6205530166625977,0.4453125,,,,
,71,,,,2.34268856048584,0.46484375,,,,
,72,,,,2.5020461082458496,0.421875,,,,
,73,,,,2.8264708518981934,0.375,,,,
,74,,,,2.6696367263793945,0.4296875,,,,
,75,,,,2.226840019226074,0.51171875,,,,
,76,,,,2.6591813564300537,0.4375,,,,
,77,,,,2.253159284591675,0.53125,,,,
,78,,,,2.553297281265259,0.43359375,,,,
,79,,,,3.409979820251465,0.125,,,,
,391,,,1,,,2.560948610305786,0.4526999890804291,,
,391,,,1,,,,,1.1351568698883057,0.5951399803161621
0.0911981528773979,399,,,,,,,,,
,399,1.0314066410064697,0.60546875,2,,,,,,
0.10228301123818659,449,,,,,,,,,
,449,0.9958546161651611,0.66796875,2,,,,,,
0.11336786959897528,499,,,,,,,,,
,499,0.8487725853919983,0.6875,2,,,,,,
0.12445272795976399,549,,,,,,,,,
,549,0.712371826171875,0.74609375,2,,,,,,
,80,,,,1.0099072456359863,0.66796875,,,,
,81,,,,1.0655381679534912,0.6796875,,,,
,82,,,,0.9880201816558838,0.703125,,,,
