lr-SGD,step,train_loss_step,train_acc_step,epoch,val_loss_step,val_acc_step,val_loss_epoch,val_acc_epoch,train_loss_epoch,train_acc_epoch,test_loss_step,test_acc_step,test_loss_epoch,test_acc_epoch
0.028440218957462713,49,,,,,,,,,,,,,
,49,1.7838592529296875,0.36328125,0,,,,,,,,,,
0.05161373070058049,99,,,,,,,,,,,,,
,99,1.5704729557037354,0.4453125,0,,,,,,,,,,
0.07478724244369825,149,,,,,,,,,,,,,
,149,1.5517982244491577,0.44140625,0,,,,,,,,,,
,0,,,,1.5553616285324097,0.4765625,,,,,,,,
,1,,,,1.6065248250961304,0.47265625,,,,,,,,
,2,,,,1.6217586994171143,0.45703125,,,,,,,,
,3,,,,1.6009385585784912,0.44921875,,,,,,,,
,4,,,,1.6629462242126465,0.44921875,,,,,,,,
,5,,,,1.5786850452423096,0.41015625,,,,,,,,
,6,,,,1.4261231422424316,0.53515625,,,,,,,,
,7,,,,1.6988214254379272,0.41796875,,,,,,,,
,8,,,,1.4981894493103027,0.46875,,,,,,,,
,9,,,,1.6382864713668823,0.4375,,,,,,,,
,10,,,,1.5874074697494507,0.453125,,,,,,,,
,11,,,,1.4921391010284424,0.51171875,,,,,,,,
,12,,,,1.5920865535736084,0.42578125,,,,,,,,
,13,,,,1.6104941368103027,0.46484375,,,,,,,,
,14,,,,1.6837193965911865,0.4140625,,,,,,,,
,15,,,,1.646018624305725,0.46484375,,,,,,,,
,16,,,,1.4913634061813354,0.48828125,,,,,,,,
,17,,,,1.5375603437423706,0.453125,,,,,,,,
,18,,,,1.3524633646011353,0.52734375,,,,,,,,
,19,,,,1.571028470993042,0.4921875,,,,,,,,
,20,,,,1.5226736068725586,0.43359375,,,,,,,,
,21,,,,1.6245585680007935,0.453125,,,,,,,,
,22,,,,1.4721167087554932,0.48046875,,,,,,,,
,23,,,,1.5382533073425293,0.4296875,,,,,,,,
,24,,,,1.5305027961730957,0.484375,,,,,,,,
,25,,,,1.4937406778335571,0.49609375,,,,,,,,
,26,,,,1.6369835138320923,0.4375,,,,,,,,
,27,,,,1.6215052604675293,0.48046875,,,,,,,,
,28,,,,1.3918520212173462,0.5234375,,,,,,,,
,29,,,,1.6601428985595703,0.4765625,,,,,,,,
,30,,,,1.6187543869018555,0.4453125,,,,,,,,
,31,,,,1.529232382774353,0.46484375,,,,,,,,
,32,,,,1.5680373907089233,0.4765625,,,,,,,,
,33,,,,1.69944167137146,0.41796875,,,,,,,,
,34,,,,1.7240480184555054,0.4375,,,,,,,,
,35,,,,1.508647084236145,0.4921875,,,,,,,,
,36,,,,1.5838439464569092,0.45703125,,,,,,,,
,37,,,,1.4873323440551758,0.47265625,,,,,,,,
,38,,,,1.5619109869003296,0.43359375,,,,,,,,
,39,,,,1.3791332244873047,0.5,,,,,,,,
,195,,,0,,,1.5695792436599731,0.46320000290870667,,,,,,
,195,,,0,,,,,1.6627038717269897,0.39476001262664795,,,,
0.09796075418681602,199,,,,,,,,,,,,,
,199,1.390062928199768,0.4765625,1,,,,,,,,,,
0.12113426592993379,249,,,,,,,,,,,,,
,249,1.3120213747024536,0.57421875,1,,,,,,,,,,
0.14430777767305156,299,,,,,,,,,,,,,
,299,1.2190396785736084,0.59375,1,,,,,,,,,,
0.16748128941616933,349,,,,,,,,,,,,,
,349,0.9406017661094666,0.65625,1,,,,,,,,,,
,40,,,,1.0470949411392212,0.640625,,,,,,,,
,41,,,,1.0514204502105713,0.62890625,,,,,,,,
,42,,,,1.0928078889846802,0.6328125,,,,,,,,
,43,,,,1.0315722227096558,0.6328125,,,,,,,,
,44,,,,1.1542940139770508,0.61328125,,,,,,,,
,45,,,,1.0782661437988281,0.62109375,,,,,,,,
,46,,,,1.0330299139022827,0.6171875,,,,,,,,
,47,,,,1.0159385204315186,0.64453125,,,,,,,,
,48,,,,1.083784818649292,0.625,,,,,,,,
,49,,,,1.2000051736831665,0.62890625,,,,,,,,
,50,,,,1.0629875659942627,0.58984375,,,,,,,,
,51,,,,1.0668878555297852,0.640625,,,,,,,,
,52,,,,1.106536626815796,0.62109375,,,,,,,,
,53,,,,1.1021841764450073,0.640625,,,,,,,,
,54,,,,1.145677924156189,0.60546875,,,,,,,,
,55,,,,0.9596776366233826,0.671875,,,,,,,,
,56,,,,0.9549358487129211,0.671875,,,,,,,,
,57,,,,1.0892174243927002,0.62890625,,,,,,,,
,58,,,,0.938487708568573,0.65625,,,,,,,,
,59,,,,1.0314805507659912,0.62890625,,,,,,,,
,60,,,,1.0484280586242676,0.63671875,,,,,,,,
,61,,,,1.1288630962371826,0.63671875,,,,,,,,
,62,,,,1.1913714408874512,0.609375,,,,,,,,
,63,,,,1.0189646482467651,0.62109375,,,,,,,,
,64,,,,1.1242964267730713,0.62109375,,,,,,,,
,65,,,,1.0637856721878052,0.62890625,,,,,,,,
,66,,,,1.1042625904083252,0.6171875,,,,,,,,
,67,,,,1.1032546758651733,0.62109375,,,,,,,,
,68,,,,0.9760780334472656,0.6484375,,,,,,,,
,69,,,,1.0846962928771973,0.67578125,,,,,,,,
